distrito,municipio,departamen,nombreciud,FRI,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,A-UPP,LIBRE,PDC,NGP,MTS,APB-SUMATE,UNIDOS-,votos_totales,InscritosHabilitados,participacion,ganador,votos_ganador,pct_ganador,partido_2do,votos_2do,pct_2do,margen_victoria,pct_FRI,pct_SOLUCIONES-CON-TODOS,pct_PATRIA-UNIDOS,pct_A-UPP,pct_LIBRE,pct_PDC,pct_NGP,pct_MTS,pct_APB-SUMATE,pct_UNIDOS-
012,Cercado,Cochabamba,Cochabamba,485,4269,3845,1450,3280,307,4235,522,27156,1281,46830,56821,82.4,APB-SUMATE,27156,58,SOLUCIONES-CON-TODOS,4269,9.1,48.9,1,9.1,8.2,3.1,7,0.7,9,1.1,58,2.7
009,Cercado,Cochabamba,Cochabamba,1993,5638,2202,36279,2880,2130,4154,1683,21740,2767,81466,107365,75.9,A-UPP,36279,44.5,APB-SUMATE,21740,26.7,17.8,2.4,6.9,2.7,44.5,3.5,2.6,5.1,2.1,26.7,3.4
014,Cercado,Cochabamba,Cochabamba,460,1841,587,7929,588,435,1099,582,5194,653,19368,25186,76.9,A-UPP,7929,40.9,APB-SUMATE,5194,26.8,14.1,2.4,9.5,3,40.9,3,2.2,5.7,3,26.8,3.4
004,Cercado,Cochabamba,Cochabamba,713,2364,1532,2823,1857,465,2596,667,23916,1472,38405,46405,82.8,APB-SUMATE,23916,62.3,A-UPP,2823,7.4,54.9,1.9,6.2,4,7.4,4.8,1.2,6.8,1.7,62.3,3.8
008,Cercado,Cochabamba,Cochabamba,1091,2430,1278,15821,1407,1126,3111,1138,12663,1821,41886,55506,75.5,A-UPP,15821,37.8,APB-SUMATE,12663,30.2,7.6,2.6,5.8,3.1,37.8,3.4,2.7,7.4,2.7,30.2,4.3
011,Cercado,Cochabamba,Cochabamba,217,1327,1105,697,972,106,1251,226,9721,552,16174,19753,81.9,APB-SUMATE,9721,60.1,SOLUCIONES-CON-TODOS,1327,8.2,51.9,1.3,8.2,6.8,4.3,6,0.7,7.7,1.4,60.1,3.4
003,Cercado,Cochabamba,Cochabamba,406,2385,1903,1722,1912,315,2468,455,19967,1091,32624,38768,84.2,APB-SUMATE,19967,61.2,NGP,2468,7.6,53.6,1.2,7.3,5.8,5.3,5.9,1,7.6,1.4,61.2,3.3
013,Cercado,Cochabamba,Cochabamba,38,86,83,415,62,44,97,49,778,144,1796,2276,78.9,APB-SUMATE,778,43.3,A-UPP,415,23.1,20.2,2.1,4.8,4.6,23.1,3.5,2.4,5.4,2.7,43.3,8
007,Cercado,Cochabamba,Cochabamba,308,556,295,2475,353,187,757,235,3964,376,9506,12030,79,APB-SUMATE,3964,41.7,A-UPP,2475,26,15.7,3.2,5.8,3.1,26,3.7,2,8,2.5,41.7,4
010,Cercado,Cochabamba,Cochabamba,410,1838,1411,1518,1438,277,1894,376,12918,771,22851,28650,79.8,APB-SUMATE,12918,56.5,NGP,1894,8.3,48.2,1.8,8,6.2,6.6,6.3,1.2,8.3,1.6,56.5,3.4
005,Cercado,Cochabamba,Cochabamba,811,2661,1439,4375,1555,578,2413,678,19759,1380,35649,44450,80.2,APB-SUMATE,19759,55.4,A-UPP,4375,12.3,43.1,2.3,7.5,4,12.3,4.4,1.6,6.8,1.9,55.4,3.9
001,Cercado,Cochabamba,Cochabamba,96,601,583,354,414,52,503,84,3229,192,6108,7317,83.5,APB-SUMATE,3229,52.9,SOLUCIONES-CON-TODOS,601,9.8,43.1,1.6,9.8,9.5,5.8,6.8,0.9,8.2,1.4,52.9,3.1
002,Cercado,Cochabamba,Cochabamba,556,2683,2217,4189,2076,514,3068,720,21779,1385,39187,47904,81.8,APB-SUMATE,21779,55.6,A-UPP,4189,10.7,44.9,1.4,6.8,5.7,10.7,5.3,1.3,7.8,1.8,55.6,3.5
006,Cercado,Cochabamba,Cochabamba,689,1738,1052,5747,1273,568,2165,708,13205,1254,28399,36071,78.7,APB-SUMATE,13205,46.5,A-UPP,5747,20.2,26.3,2.4,6.1,3.7,20.2,4.5,2,7.6,2.5,46.5,4.4
