recinto,asiento,NombreRecinto,FRI,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,A-UPP,LIBRE,PDC,NGP,MTS,APB-SUMATE,UNIDOS-,votos_totales,InscritosHabilitados,participacion,ganador,votos_ganador,pct_ganador,partido_2do,votos_2do,pct_2do,margen_victoria,pct_FRI,pct_SOLUCIONES-CON-TODOS,pct_PATRIA-UNIDOS,pct_A-UPP,pct_LIBRE,pct_PDC,pct_NGP,pct_MTS,pct_APB-SUMATE,pct_UNIDOS-
101,821,Escuela IV Centenario,50,197,140,258,158,34,214,61,1920,152,3184,3854,82.6,APB-SUMATE,1920,60.3,A-UPP,258,8.1,52.2,1.6,6.2,4.4,8.1,5,1.1,6.7,1.9,60.3,4.8
102,821,Escuela Central Taquiña C,119,357,411,962,337,115,477,128,3288,238,6432,8071,79.7,APB-SUMATE,3288,51.1,A-UPP,962,15,36.1,1.9,5.6,6.4,15,5.2,1.8,7.4,2,51.1,3.7
103,821,Colegio Marista Nuestra Señora Del Pilar,50,237,163,444,144,41,281,69,1830,140,3399,4155,81.8,APB-SUMATE,1830,53.8,A-UPP,444,13.1,40.7,1.5,7,4.8,13.1,4.2,1.2,8.3,2,53.8,4.1
104,821,U. E. Raymundo Herman,46,239,195,275,171,40,248,60,2350,129,3753,4473,83.9,APB-SUMATE,2350,62.6,A-UPP,275,7.3,55.3,1.2,6.4,5.2,7.3,4.6,1.1,6.6,1.6,62.6,3.4
105,821,Colegio Hispano Boliviano,37,177,75,167,122,28,138,33,1171,70,2018,2540,79.4,APB-SUMATE,1171,58,SOLUCIONES-CON-TODOS,177,8.8,49.2,1.8,8.8,3.7,8.3,6,1.4,6.8,1.6,58,3.5
106,821,Colegio Nacional Mixto Cochabamba,53,359,200,317,227,30,357,68,2757,147,4515,5433,83.1,APB-SUMATE,2757,61.1,SOLUCIONES-CON-TODOS,359,8,53.1,1.2,8,4.4,7,5,0.7,7.9,1.5,61.1,3.3
107,821,Unidad Educativa Club De Leones,34,211,159,144,157,28,258,42,1714,75,2822,3477,81.2,APB-SUMATE,1714,60.7,NGP,258,9.1,51.6,1.2,7.5,5.6,5.1,5.6,1,9.1,1.5,60.7,2.7
108,821,Escuela Mixta Fiscal Temporal A,34,194,121,240,108,28,221,30,1303,102,2381,2903,82,APB-SUMATE,1303,54.7,A-UPP,240,10.1,44.6,1.4,8.1,5.1,10.1,4.5,1.2,9.3,1.3,54.7,4.3
109,821,Colegio Marista,45,356,273,231,297,65,353,69,2899,166,4754,5685,83.6,APB-SUMATE,2899,61,SOLUCIONES-CON-TODOS,356,7.5,53.5,0.9,7.5,5.7,4.9,6.2,1.4,7.4,1.5,61,3.5
111,821,Colegio Federico Froebel,58,362,338,238,224,27,308,46,1647,111,3359,4021,83.5,APB-SUMATE,1647,49,SOLUCIONES-CON-TODOS,362,10.8,38.2,1.7,10.8,10.1,7.1,6.7,0.8,9.2,1.4,49,3.3
