municipio,partido,candidato,color,img
Cochabamba,FRI,Jhon Mendoza,#CE1819,fri.jpg
Cochabamba,SOLUCIONES-CON-TODOS,Javier Bellott,#2DA6DB,sct.jpg
Cochabamba,PATRIA-UNIDOS,Ramon Daza,#E0701A,patria.jpg
Cochabamba,A-UPP,Carlos Zabaleta,#E2B319,upp.jpg
Cochabamba,LIBRE,Rodrigo Anaya,#FF4040,libre.jpeg
Cochabamba,PDC,Cristian Tastaca,#2E6C6D,pdc.webp
Cochabamba,NGP,Jose Carlos Sanchez Berzain,#F5A214,ngp.jpg
Cochabamba,MTS,Ronald Unzueta,#27925F,mts.webp
Cochabamba,APB-SUMATE,Manfred Reyes Villa,#7233A8,sumate.jpg
Cochabamba,UNIDOS-,Rocio Molina,#CCCBC8,unidos.jpg
La Paz,ASP,Xavier Iturralde,#F9E301,xavier-lp.png
La Paz,VENCEREMOS,Waldo Albarracín,#FE7E39,albarracin-lp.webp
La Paz,PDC,Mario Silva,#017924,mario-silva.jpg
La Paz,A-UPP,Isaac Fernandez,#E2B319,upp-lp.png
La Paz,ASLP,Miguel Roca,#CB2042,miguel-roca.jpg
La Paz,PATRIA-LA-PAZ,Carlos Rivero,#E0701A,rivero.jpg
La Paz,MTS,Jorge Dulón,#27925F,dulon.webp
La Paz,UPC,Luis Siles,#8C0C26,siles.png
La Paz,JALLALLA LP,Jhonny Plata,#F00132,plata.jpg
La Paz,NGP,Hernán Rivera,#05B2DC,rivera.webp
La Paz,SPBC,Ivan Arias,#00BAB2,arias.jpeg
La Paz,VIDA,Fernando Valencia,#D36B10,valencia.png
La Paz,APB-SUMATE,Oscar Sogliano,#7C1D84,sogliano.png
La Paz,LIBRE,Carlos Palenque,#0057B1,carlos-palenque.jpg
La Paz,M.P.S.,Ricardo Cuevas,#103A67,cuevas.png
La Paz,FRI,Raúl Daza,#CE1819,raul-daza.jpg
La Paz,IH,Cesar Dockweiler,#FF81FE,dockweiler.jpg
Santa Cruz,ASIP,Gomer Padilla,#01B3C4,gomer.png
Santa Cruz,NGP,Paola Cronembold,#05B2DC,p-c.png
Santa Cruz,SPT,Angelica Sosa,#FED418,sosa.jpg
Santa Cruz,FE,Soo Hyun Chung,#2FA225,soohyun.webp
Santa Cruz,UN,Federico Moron,#01017C,moron.png
Santa Cruz,PATRIA-UNIDOS,Alfredo Solares,#FE4D00,solares.jpg
Santa Cruz,TODOS-,Carlos Subirana,#1AA347,subirana.png
Santa Cruz,VOS,Manuel Saavedra,#FE0124,mamen.webp
Santa Cruz,SOL,Oscar Vargas,#FC5600,vargasc.png
Santa Cruz,UNIDOS,Rosario Schamisseddine,#0087B8,scha.jpg
Santa Cruz,PSC,Gary Añez,#11BA01,gary.png
Santa Cruz,MTS,Felix Oros,#27925F,oros.jpeg
Santa Cruz,A-UPP,Orlando Peña,#E2B319,orlandopena.png
Santa Cruz,PDC,Rafael Quinteros,#2E6C6D,rquinteros.png
Sucre,FRI,Juan Antonio Jesus,#7474AC,sucre-FRI.png
Sucre,A-UPP,Jeyson Auza,#E4CC64,sucre-A-UPP.png
Sucre,AGN,Fátima Tardío,#8C6CBC,sucre-AGN.png
Sucre,FUERZA,Cristian Sanabria,#4C9464,sucre-FUERZA.png
Sucre,PATRIA-UNIDOS,Maria Teresa Dalenz,#5CBCCC,sucre-PATRIA-UNIDOS.png
Sucre,APB-SUMATE,Erick Pedraza,#BCB4AC,sucre-APB-SUMATE.png
Sucre,MTS,Richard Moscoso,#C45C84,sucre-MTS.png
Sucre,NGP,Hebert Terrazas,#E46C6C,sucre-NGP.png
Sucre,CHR,Enrique Palenque,#AC3C34,sucre-CHR.png
Sucre,XS-CH,Cecilia Calani,#14243C,sucre-XS-CH.png
Sucre,LIBRE,Walter Arizaga,#F4C47C,sucre-LIBRE.png
Oruro,FRI,René Mamani,#7474B4,oruro-FRI.png
Oruro,LEAL,Adhemar Wilcarani,#6C3C9C,oruro-LEAL.png
Oruro,NGP,Iván Quispe,#FC5C6C,oruro-NGP.png
Oruro,AORA,Santiago Condori,#8C544C,oruro-AORA.png
Oruro,UN,Enrique Urquidi,#DC5C04,oruro-UN.png
Oruro,A-UPP,Jhonny Pereira,#ECCC4C,oruro-A-UPP.png
Oruro,MCSFA,Edgar Bazán,#5C548C,oruro-MCSFA.png
Oruro,APB-SUMATE,,#6C7484,oruro-APB-SUMATE.png
Oruro,MTS,Oliver Poma,#D45484,oruro-MTS.png
Oruro,PATRIA-ORURO,Rafael Vargas,#7C7C7C,oruro-PATRIA-ORURO.png
Oruro,LIBRE,René Guzmán,#FCBC74,oruro-LIBRE.png
Oruro,P.P.,Luis Carlos Aguilar,#2C9C8C,oruro-P.P..png
Oruro,SOMOS,Marcelo Cortez,#247CA4,oruro-SOMOS.png
Oruro,JACHAJAKISASOLFESORC,Marcelo Medina,#B4DC8C,oruro-SASOLEFSORG.png
Oruro,PDC,Cristhian Tellez,#ECC46C,oruro-PDC.png
Potosí,A.S.,Leonor Quispe,#E49444,potosi-A.S..png
Potosí,LIBRE,Gerardo Rua,#F4C47C,potosi-LIBRE.png
Potosí,PDC,Veridia Bellido,#E4C474,potosi-PDC.png
Potosí,PATRIA-UNIDOS,Guido Casiano,#5CBCCC,potosi-PATRIA-UNIDOS.png
Potosí,MTS,Williams Cervantes,#C45C84,potosi-MTS.png
Potosí,CAOP,Luis Fuertes Villanueva,#3C6494,potosi-CAOP.png
Potosí,ASCAP,Francisco Pumari,#A47C9C,potosi-ASCAP.png
Potosí,JAP,Jaime Burgoa,#6434C4,potosi-JAP.png
Potosí,APB-SUMATE,Armando Iporre,#BCB4AC,potosi-APB-SUMATE.png
Potosí,DEMOCRATAS,Reynaldo Jarro Salvatierra,#EC6C64,
